barcode,book_id,availability_status
5906,6116,Available
5907,4618,Available
5908,5469,Available
5909,5469,Available
9013,486,Available
9014,486,Available
9015,5173,Available
9016,5173,Available
9017,4969,Available
9018,4969,Available
9019,5110,Available
9020,5110,Available
9021,4056,Available
9022,4056,Available
9023,3635,Available
9024,3635,Available
9025,2344,Available
9026,2345,Available
9027,2346,Available
9028,2347,Available
9029,2348,Available
9030,1113,Available
9031,1113,Available
9032,1113,Available
9033,1113,Available
9034,1113,Available
9035,2627,Available
9036,2627,Available
9037,2627,Available
9038,2627,Available
9039,2714,Available
9040,2714,Available
9041,2714,Available
9042,2714,Available
9043,2714,Available
9044,2500,Available
9045,5205,Available
9046,5205,Available
9047,2613,Available
9048,2502,Available
9049,2502,Available
9050,2502,Available
9051,2502,Available
9052,2502,Available
9053,3241,Available
9054,4286,Available
9055,2512,Available
9056,6492,Available
9057,1238,Available
9058,1239,Available
9059,3851,Available
9060,3851,Available
9061,3851,Available
9062,3851,Available
9063,3851,Available
9064,3851,Available
9065,3851,Available
9066,3851,Available
9067,3851,Available
9068,3851,Available
9069,3968,Available
9070,3968,Available
9071,3968,Available
9072,3968,Available
9073,4971,Available
9074,4971,Available
9075,2337,Available
9076,2338,Available
9077,5732,Available
9078,5732,Available
9080,5732,Available
9081,5732,Available
9082,2179,Available
9083,2179,Available
9084,2179,Available
9085,2179,Available
9086,2179,Available
9087,2612,Available
9088,2612,Available
9089,2612,Available
9090,2612,Available
9091,2612,Available
9092,5869,Available
9093,5869,Available
9094,4133,Available
9095,4133,Available
9096,6435,Available
9098,475,Available
9099,3957,Available
9100,3957,Available
9101,4032,Available
9102,4032,Available
9103,2155,Available
9104,2155,Available
9105,2290,Available
9106,811,Available
9107,811,Available
9108,811,Available
9109,811,Available
9110,811,Available
9111,811,Available
9112,811,Available
9113,811,Available
9114,811,Available
9116,6093,Available
9117,6093,Available
9118,6093,Available
9119,6093,Available
9120,6093,Available
9121,6108,Available
9122,6108,Available
9123,6108,Available
9124,6108,Available
9125,6108,Available
9126,2596,Available
9127,2596,Available
9128,2596,Available
9129,2596,Available
9130,2596,Available
9131,6109,Available
9132,6109,Available
9133,5927,Available
9134,5927,Available
9135,5927,Available
9136,5927,Available
9137,104,Available
9138,104,Available
9139,110,Available
9140,110,Available
9141,52,Available
9142,52,Available
9143,4141,Available
9144,4141,Available
9145,2498,Available
9146,3840,Available
9147,3840,Available
9150,3603,Available
9151,3603,Available
9152,3603,Available
9153,3603,Available
9154,3603,Available
9155,2290,Available
9156,5868,Available
9157,5868,Not Available
9158,17,Not Available
9159,17,Not Available
9160,17,Not Available
9161,17,Not Available
9162,17,Not Available
9163,17,Not Available
9164,17,Not Available
9165,17,Not Available
9166,17,Not Available
9167,17,Not Available
9168,2921,Not Available
9169,2921,Available
9170,3309,Available
9171,3309,Available
9172,3309,Available
9173,3309,Available
9174,3309,Available
9175,2497,Available
9176,2497,Available
9177,358,Available
9178,358,Available
9179,358,Available
9180,358,Available
9181,358,Available
9182,358,Available
9183,358,Available
9184,358,Available
9185,358,Available
9186,358,Available
9187,3752,Available
9188,3752,Available
9189,3752,Available
9190,3752,Available
9191,3752,Available
9192,6291,Available
9193,6291,Available
9194,743,Available
9195,743,Available
9196,743,Available
9197,743,Available
9198,743,Available
9200,743,Available
9201,742,Available
9202,743,Available
9203,743,Available
9205,743,Available
9206,743,Available
9207,743,Available
9208,743,Available
9209,4688,Available
9210,4688,Available
9211,2020,Available
9212,2020,Available
9213,2020,Available
9214,2020,Available
9215,2020,Available
9217,6198,Available
9218,2627,Available
9219,2627,Available
9220,2627,Available
9221,2627,Available
9222,2627,Available
9223,2627,Available
9224,3533,Available
9225,3533,Available
9226,3533,Available
9227,4760,Available
9228,4760,Available
9229,4760,Available
9230,4619,Available
9231,4619,Available
9232,4619,Available
9233,4619,Available
9234,4619,Available
9235,4619,Available
9236,4619,Available
9237,4619,Available
9238,2501,Available
9239,2501,Available
9240,2501,Available
9241,2501,Available
9242,2501,Available
9243,4414,Available
9244,4414,Available
9245,4414,Available
9246,4414,Available
9247,4414,Available
9248,5660,Available
9249,5660,Available
9250,5660,Available
9251,5660,Available
9252,5660,Available
9253,5660,Available
9254,5660,Available
9255,5660,Available
9256,5660,Available
9257,5660,Available
9258,3181,Available
9259,3181,Available
9260,3181,Available
9261,3181,Available
9262,3181,Available
9263,2662,Available
9264,2662,Available
9265,2607,Available
9266,2607,Available
9267,2607,Available
9268,2607,Available
9269,2607,Available
9270,5946,Available
9271,5946,Available
9272,5946,Available
9273,5946,Available
9274,5946,Available
9275,5946,Available
9276,5946,Available
9277,5946,Available
9278,5946,Available
9279,5946,Available
9280,2574,Available
9281,2574,Available
9282,2574,Available
9283,2574,Available
9284,2574,Available
9285,5920,Available
9286,5920,Available
9287,5920,Available
9288,5920,Available
9289,5920,Not Available
9290,6304,Not Available
9291,6304,Not Available
9292,6298,Not Available
9293,6298,Not Available
9294,6298,Not Available
9295,2611,Not Available
9296,2611,Not Available
9297,2611,Not Available
9298,2611,Not Available
9299,2611,Not Available
9300,2611,Available
9301,2611,Available
9302,2611,Available
9303,2611,Available
9304,2611,Available
9305,4193,Available
9306,4193,Available
9307,4193,Available
9308,4193,Available
9309,3038,Available
9310,3038,Available
9311,3038,Available
9312,3038,Available
9313,2484,Available
9314,2484,Available
9315,2484,Available
9316,2484,Available
9317,2484,Available
9318,2484,Available
9319,2002,Available
9320,2002,Available
9321,2002,Available
9322,2002,Available
9323,2002,Available
9324,2722,Available
9325,2722,Available
9326,2722,Available
9327,2722,Available
9328,2722,Available
9329,5257,Available
9330,5257,Available
9331,5257,Available
9332,5257,Available
9333,5257,Available
9334,5257,Available
9335,5257,Available
9336,5257,Available
9337,5257,Available
9338,5257,Available
9339,1347,Available
9340,1347,Available
9341,1347,Available
9342,1347,Available
9343,1347,Available
9344,6295,Available
9345,6295,Available
9346,6295,Available
9347,6365,Available
9348,6365,Available
9349,4907,Available
9350,4907,Available
9351,4907,Available
9352,4907,Available
9353,4907,Available
9354,4452,Available
9355,6302,Available
9356,6303,Available
9357,6303,Available
9358,6303,Available
9359,6303,Available
9360,6303,Available
9361,6303,Available
9362,6303,Available
9363,6303,Available
9364,6303,Available
9365,4911,Available
9366,4912,Available
9367,4912,Available
9368,4912,Available
9369,4912,Available
9370,5013,Available
9371,3879,Available
9372,3025,Available
9373,3873,Available
9374,3875,Available
9375,1997,Available
9376,1998,Available
9377,1998,Available
9378,1998,Available
9379,1998,Available
9380,2530,Available
9381,2532,Available
9382,2533,Available
9383,2533,Available
9384,2533,Available
9385,3599,Available
9386,3600,Available
9387,3600,Available
9388,3600,Available
9389,3600,Available
9390,3526,Available
9391,3527,Available
9392,3527,Available
9393,3527,Available
9394,3527,Available
9395,2709,Available
9396,2710,Available
9397,2710,Available
9398,2710,Available
9399,2710,Available
9400,3484,Available
9401,5706,Available
9402,2039,Available
9403,2040,Available
9404,2040,Available
9405,2040,Available
9406,2040,Available
9407,2040,Available
9408,2040,Available
9409,2040,Available
9410,2040,Available
9411,2040,Available
9412,2040,Available
9413,2040,Available
9414,2040,Available
9415,2044,Available
9416,2039,Available
9417,2040,Available
9418,2040,Available
9419,2040,Available
9420,2040,Available
9421,2040,Available
9422,3602,Available
9423,3605,Available
9424,3606,Available
9425,3602,Available
9426,3605,Available
9427,3605,Available
9428,2049,Available
9429,2050,Available
9430,2050,Available
9432,2050,Available
9433,2050,Available
9434,2050,Available
9435,2050,Available
9436,2050,Available
9437,2050,Available
9438,2050,Available
9439,2050,Available
9440,2050,Available
9441,2050,Available
9442,2050,Available
9443,2050,Available
9444,2050,Available
9445,2050,Available
9446,2050,Available
9447,2050,Available
9448,181,Available
9449,182,Available
9450,182,Available
9451,182,Available
9452,182,Available
9453,4006,Available
9454,5102,Available
9455,3644,Available
9457,254,Available
9458,255,Available
9459,695,Available
9460,696,Available
9461,3818,Available
9462,3819,Available
9463,5500,Available
9464,5501,Available
9466,633,Available
9467,4500,Available
9468,4501,Available
9469,5545,Available
9470,5546,Available
9471,4097,Available
9472,4098,Available
9473,2881,Available
9474,2882,Available
9475,697,Available
9476,698,Available
9477,699,Available
9478,700,Available
9479,635,Available
9480,636,Available
9481,6311,Available
9482,6312,Available
9483,3737,Available
9484,3738,Available
9485,6308,Available
9486,6309,Available
9487,4834,Available
9488,4835,Available
9489,3986,Available
9491,6313,Available
9492,6314,Available
9493,6349,Available
9494,6350,Available
9495,6350,Available
9496,6350,Available
9497,6350,Available
9498,6350,Available
9499,6350,Available
9500,6350,Available
9501,6350,Available
9502,6350,Available
9503,6350,Available
9504,6350,Available
9505,6350,Available
9506,6350,Available
9507,6350,Available
9508,6350,Available
9509,6350,Available
9510,6350,Available
9511,6350,Available
9512,6350,Available
9513,6350,Available
9514,6350,Available
9515,6350,Available
9516,6350,Available
9517,6350,Available
9518,6350,Available
9519,6350,Available
9520,6350,Available
9521,6350,Available
9522,6350,Available
9523,6350,Available
9524,6350,Available
9525,6350,Available
9526,6350,Available
9527,6350,Available
9528,6350,Available
9529,6350,Available
9530,6350,Available
9531,6350,Available
9532,6350,Available
9533,6350,Available
9534,6350,Available
9535,6350,Available
9536,6350,Available
9537,6350,Available
9538,6350,Available
9539,6350,Available
9540,6350,Available
9541,6350,Available
9542,6350,Available
9543,6350,Available
9544,6350,Available
9545,6350,Available
9546,6350,Available
9547,6350,Available
9548,6350,Available
9549,6350,Available
9550,6350,Available
9551,6350,Available
9552,6350,Available
9553,6350,Available
9554,6350,Available
9555,6350,Available
9556,6350,Available
9557,6350,Available
9558,6350,Available
9559,6350,Available
9560,6350,Available
9561,6350,Available
9562,6350,Available
9563,6350,Available
9564,6350,Available
9565,6350,Available
9566,6350,Available
9567,6350,Available
9568,6350,Available
9569,6350,Available
9570,6350,Available
9571,881,Available
9572,882,Available
9573,882,Available
9574,882,Available
9575,882,Available
9576,882,Available
9577,882,Available
9578,882,Available
9579,882,Available
9580,882,Available
9582,882,Available
9583,3429,Available
9584,3430,Available
9585,3430,Available
9586,3430,Available
9587,3430,Available
9588,3430,Available
9589,6272,Available
9590,6273,Available
9591,3490,Available
9592,3093,Available
9593,3094,Available
9594,3094,Available
9595,3094,Available
9596,3094,Available
9598,3094,Available
9599,3094,Not Available
9600,3094,Not Available
9601,2992,Not Available
9602,2993,Not Available
9603,1667,Not Available
9604,1668,Not Available
9605,1668,Not Available
9606,1668,Not Available
9607,1668,Not Available
9608,3692,Not Available
9609,3690,Not Available
9610,3691,Not Available
