_title_norm,title,num_editions,edition_list
digital signal processing,Digital Signal Processing,11,"['6th rep.' '1st' '' '3rd' '1st ed.' '4th' '3rd imp.' '4th rep.' '29 ed.'
 '2nd ed.' '2nd']"
electronic devices and circuits,Electronic Devices and Circuits,10,"['1st ed.' '1st rep.' '3rd' '25th rep.' '23rd' '1st' '6th' '32th'
 '3rd ed.' '5th']"
automobile engineering,Automobile engineering,10,['1st' '' '8th' '2nd' '10th' '7th' '5th ed' '7 ed' '2nd ed.' '1st ed.']
macroeconomics,Macroeconomics,9,['1st ed.' '4th' '2nd' '3rd' '5th' '18th' '9th' '6th' '4th ed.']
numerical methods,Numerical Methods,9,"['7th' '6th' '1st' '13th ed.' '6th ed.' '16th ed.' '1st ed.' '7th ed.'
 '22nd ed.']"
design of machine elements,Design of Machine Elements,9,"['1st ed.' '1st' '2nd' '7th' '4th ed.' '8th  ed.' '8th ed.' '2nd ed.'
 '3nd ed.']"
engineering chemistry,Engineering Chemistry,8,['3rd' '15th' '1st' '7th' '1st ed.' '' '2nd rep.' '3rd ed.']
internal combustion engines,Internal Combustion Engines,8,['3rd ed.' '' '1st' '17th rep.' '2nd' '3rd' '2nd ed.' '1st ed.']
basic electrical engineering,Basic electrical engineering,8,['1st ed.' '1st' '2nd' '' '3rd ed.' '7th rev.' '2nd ed.' '1st rev. ed.']
marketing management,Marketing Management,8,['10th' 'mill.' '11th' '1st' '' '12th' '2nd' '4th ed.']
computer networks,Computer Networks,8,['3rd ed.' '' '3rd' '10th' '5th' '4th' '2nd' '1st ed.']
economics,Economics,8,['4th ed.' '6th' '7th' '4th' '10th' '3rd' '8th' '9th']
software engineering,Software Engineering,8,['5th' '6th' '1st' '2nd' '7th' '3rd' '3rd ed.' '1st ed.']
fluid mechanics,Fluid Mechanics,8,['2nd ed.' '2nd' '4th' '4th ed.' '6th' '1st ed.' '' '3rd']
instrumentation measurement and analysis,Instrumentation Measurement and Analysis,7,['1st ed.' '21st rep.' '22nd rep.' '2nd' '2nd ed.' '3rd' '3rd ed.']
international economics,International economics,7,['3rd' '4th' '5th ed.' '4th ed.' '6th' '1st ed.' '']
management information systems,Management information systems,7,['6nd ed.' '1st ed.' '8th' '2nd' '1st' '6th' '15 rep.']
signals and systems,Signals and Systems,6,['2nd' '1st' '5th' '1st ed.' '' '2nd ed.']
environmental chemistry,Environmental Chemistry,6,['4th ed.' '5th' '1st' '4th' '9th' '1st ed.']
digital image processing,Digital Image Processing,6,['1st ed.' '' '3rd' '2nd' '1st' '3rd ed.']
thermal engineering,Thermal Engineering,6,['23rd' '24th ed.' '6th' '7th ed.' '8th6th' '1st ed.']
optics,Optics,6,['2nd' '' '13th rep' '3rd' '5th ed.' '1st ed.']
communication systems,Communication Systems,6,['1st' '' '14th rep.' '4th' '2nd ed.' '1st ed.']
operating systems,Operating Systems,6,['2nd' '2nd ed.' '1st rep.' '4th ed.' '5th ed.' '1st ed.']
strength of materials,Strength of materials,6,['1st ed.' '6th' '3rd' '1st' '4th ed.' '17th ed.']
solid state physics,Solid state physics,6,['1st' '' '3rd' '4th rep' '5th' '4th ed.']
business communication,Business Communication,6,['1st' '17th' '' '27th ed.' '4th' '2nd ed.']
management,Management,6,['5th ed.' '5th' '16th rp.' '7th' '3rd' '6th']
higher engineering mathematics,Higher engineering mathematics,6,['1st ed.' '3rd.rep.' '36th.' '37th' '1st' '40th']
microeconomics,Microeconomics,6,['2nd ed.' '3rd' '5th' '1st' '3rd ed.' '7th']
engineering physics,Engineering Physics,6,['8th ed.' '1st ed.' '2nd' '3rd' '5th ed.' '3rd imp.']
machine design,Machine Design,6,['9th ed.' '10th' '4th pri.' '1st ed.' '2nd' '']
advanced engineering mathematics,Advanced Engineering Mathematics,5,['2nd' '8th' '1st' '3rd' '3 ed.']
numerical methods for scientific & eng.computation,Numerical Methods for Scientific & Eng.Computation,5,['' '1st ed.' '3rd ed.' '3rd.rep' '4th ed.']
distributed operating systems,Distributed Operating systems,5,['1st' '1st ed.' '3rd' '4th' '']
discrete mathematics,Discrete Mathematics,5,['1st' '2nd' '1st ed.' '6th ed.' '3rd.']
computer fundamentals,Computer Fundamentals,5,['2nd ed.' '' '1st' '3rd' '1st ed.']
introductory methods of numerical analysis,Introductory Methods of Numerical Analysis,5,['3rd ed.' '' '1st ed.' '3rd' '4th ed.']
software project management,Software Project Management,5,['1st' '3rd' '4th' '4th ed.' '1st ed.']
digital design,Digital Design,5,['3rd' '1st ed.' '' '4th ed.' '6th ed.']
building construction,Building Construction,5,['1st ed.' '' '25th' 'rep.' '14th ed.']
mechatronics,Mechatronics,5,['4th ed.' '3rd ed.' '1st ed.' '3rd. ed.' '']
theory of machines,Theory of machines,5,['1st ed.' '1st rep.' '3rd' '1st' '2nd']
physics of semiconductor devices,Physics of Semiconductor Devices,5,['1st rep.' '3rd pri.' '1st' '2nd' '1st ed.']
engineering optimization,Engineering optimization,5,['3rd ed.' '4th ed.' '5th ed.' '6th ed.' '7th ed.']
database management systems,Database Management Systems,5,['13th rep.' '1st' '16th rep.' '3rd ed.' '3rd']
managerial economics,Managerial Economics,5,['1st ed.' '4th' '6th' '5th' '7th']
network analysis and synthesis,Network analysis and synthesis,5,['1st ed.' '5th ed.' '' '2nd ed.' '1st']
engineering fluid mechanics,Engineering Fluid Mechanics,5,['1st' '1 rep.' 'rep.' '2nd ed.' '1st ed.']
power electronics,Power Electronics,5,['3rd' '19th rep.' '1st ed.' '1st' '2nd ed.']
artificial intelligence,Artificial Intelligence,5,['2nd' '3rd' '1st' '1st ed.' '2nd ed.']
engineering drawing,Engineering Drawing,5,['42th' '45th' '49th ed.' '11th' '1st ed.']
introduction to radar systems,Introduction to Radar Systems,5,['2nd' '1st ed.' '' '3rd ed.' '3rd']
computer system architecture,Computer system architecture,5,['3rd ed.' '' '1st ed.' '3rd' '13th pri.']
data structures and algorithms,Data structures and algorithms,5,['2nd ed.' '' '9th rep.' '6th rev ed' '1st ed.']
automotive mechanics,Automotive mechanics,5,['1st' '9th' '10th' '2nd' '10th.']
the design of the unix operating system,The Design of the Unix Operating System,5,['23rd pri.' '3rd rep.' '1st ed.' '1st' '']
digital communication,Digital Communication,5,['1st' '1st ed.' '2nd ed.' '3rd' '3rd ed.']
digital communications,Digital Communications,5,['1st' '4th' '1st ed.' '' '5th ed.']
network analysis,Network Analysis,4,['3rd ed.' '1st ed.' '' '3rd']
lectures on physics,Lectures on Physics,4,['11th ed.' '12th' '' '13th ed.']
cryptography and network security,Cryptography and Network Security,4,['4th' '4th ed.' '2nd ed.' '1st ed.']
multimedia making it work,Multimedia Making it Work,4,['4th ed.' '' '1st ed.' '5th ed.']
sensors and transducers,Sensors and Transducers,4,['2nd' '2 nd ed.' '2002' '3rd ed.']
satellite communications,Satellite Communications,4,['5th ed.' '2nd' '1st ed.' '6th']
data communication and networking,Data Communication and Networking,4,['1st' '3rd' '4th' '1st ed.']
data mining,Data Mining,4,['1st ed.' '10th' '1st' '10th rep.']
multimedia systems,Multimedia Systems,4,['4th rep.' '6th rep.' '1st ed.' '6th ed.']
modern digital and analog communication systems,Modern Digital and Analog Communication Systems,4,['1st ed.' '3rd ed.' '3rd' '4th international ed.']
spoken english,Spoken English,4,['2nd ed.' '1st' '1st ed.' '2nd']
mechanical vibrations,Mechanical Vibrations,4,['7th ed.' '4th ed.' '1st ed.' '8th ed.']
introduction to algorithms,Introduction to Algorithms,4,['2nd' '1st' '2nd rev.' '1st ed.']
management and organisational behaviour,Management and Organisational Behaviour,4,['5th' '2nd' '6th' '7th ed.']
applied numerical analysis,Applied numerical analysis,4,['5th ed.' '6th' '1st' '7th']
an integrated approach to software engineering,An Integrated Approach to Software Engineering,4,['2nd' '1st' '3rd' '1st ed.']
automation production sys. and comp. inte. manu,Automation Production Sys. and Comp. Inte. Manu,4,['1st ed.' '14th' '2nd' '7th']
automobile engineering vol.1,Automobile Engineering Vol.1,4,['1st ed.' '' '10th' '12th ed.']
materials science and engineering,Materials Science and Engineering,4,['4th ed.' '2nd ed.' '5th' '1st ed.']
business correspondence and report writing,Business Correspondence and Report Writing,4,['2nd' '2nd ed.' '3rd' '1st ed.']
mechanical engineering design,Mechanical Engineering Design,4,['6th ed.' '6th' '8th ed.' '1st ed.']
