book_id,_unique_key,title,author,editionstatement,publishercode,copyrightdate,itemcallnumber,quantity
1,",, ,,||,, ,,||1st||galgotia book source||1999",",, ,,",",, ,,",1st,GALGOTIA BOOK SOURCE,1999,005.73 HOR,1
2,0000 to 8085 : introduction to microprocessors||ghosh (p.k) and sridhar (p.r)||2nd||phi||2003,0000 to 8085 : Introduction to Microprocessors,GHOSH (P.K) AND SRIDHAR (P.R),2nd,PHI,2003,004.165 GHO R,2
3,"0000 to 8085 introduction to microprocessors for engineering and scientists||ghosh, p.k. and sridhar, p.r.||2nd||phi learning private ltd||2009",0000 TO 8085 Introduction to Microprocessors for Engineering and Scientists,"Ghosh, P.K. and Sridhar, P.R.",2nd,PHI Learning Private Ltd,2009,004.165 GHO,5
4,"0000 to 8085 introduction to microprocessors to engineering & scientists||ghosh,p.k.||1st||prentice hall||1995",0000 to 8085 introduction to Microprocessors to engineering & scientists,"Ghosh,P.K.",1st,Prentice hall,1995,004.165 GHO,2
5,100 selected poems||||||delhi open books||2021,100 selected poems,,,Delhi Open Books,2021,811.5 FRO,2
6,"101 great careers for the 21st century||gidwani, indra||3rd ed.||educationworld books||2010",101 great careers for the 21st Century,"Gidwani, Indra",3rd ed.,EducationWorld Books,2010,331.702 GID;R,1
7,"101 great universities of the world||yasmeen, summiya||1st ed.||educationworld books||2010",101 great universities of the world,"Yasmeen, Summiya",1st ed.,EducationWorld Books,2010,378.42 YAS,1
8,101 intelligent education essays||education world books||1st ed.||educationworld books||2013,101 intelligent education essays,Education World Books,1st ed.,EducationWorld Books,2013,808.420 EDU,1
9,"2.5 g:mobile netoworks: gprs and edge||kasera, sumit & others||1st ed.||tata mc graw hill||2008",2.5 G:Mobile Netoworks: GPRS and EDGE,"Kasera, Sumit & others",1st ed.,TATA MC GRAW HILL,2008,621.3822 KAS,1
10,"2.5 g:mobile networks: gprs and edge||kasera, sumit & others.||1st ed.||tata mcgraw hll||2008",2.5 G:Mobile Networks: GPRS and EDGE,"Kasera, Sumit & others.",1st ed.,Tata McGraw Hll,2008,621.3822 KAS,1
