_title_norm,title,quantity
satellite communications,Satellite Communications,544
elements of mechanical engineering,Elements of Mechanical Engineering,330
pass combridge bec vantage: students books,Pass Combridge BEC Vantage: Students Books,327
design data,Design data,232
chemistry for engineers,Chemistry for Engineers,220
communication systems,Communication Systems,217
pass combridge bec preliminar ; student books,Pass Combridge BEC Preliminar ; Student Books,211
advanced engineering mathematics,Advanced Engineering Mathematics,209
let us c,Let Us C,203
essays and articles,Essays and articles,197
engineering physics,Engineering Physics,194
computer system architecture,Computer system architecture,190
engineering drawing,Engineering Drawing,174
"business systems, m-iii","Business Systems, M-III",169
artificial intelligence,Artificial Intelligence,167
modern physics for engineers,Modern Physics for Engineers,166
strength of materials,Strength of materials,165
bec pliminary test with cd,BEC Pliminary test with CD,164
refrigerant tables & charts including air conditioning data,Refrigerant Tables & Charts Including Air Conditioning Data,162
business correspondence & report writing,Business Correspondence & Report Writing,160
steam tables : with mollier diagram,Steam Tables : With Mollier Diagram,150
numerical methods for scientific & eng.computation,Numerical Methods for Scientific & Eng.Computation,149
pass cambridge bec preliminary: teachers books,Pass Cambridge BEC Preliminary: Teachers Books,144
fundamentals of computer and program,Fundamentals of Computer and Program,139
optics,Optics,134
theory of machines,Theory of machines,133
digital signal processing,Digital Signal Processing,131
workshop technology: manufacturing process,Workshop technology: manufacturing process,130
software engineering,Software Engineering,127
higher engineering mathematics,Higher engineering mathematics,122
a course in workshop technology,A Course in Workshop Technology,122
workshop technology : manufacturing process,Workshop Technology : Manufacturing Process,121
"personal computer software (m-2, part-i)","Personal Computer Software (M-2, Part-I)",120
business system (m-iii),Business System (M-III),119
"personal computer software (m-2, part-ii)","Personal Computer Software (M-2, Part-II)",118
data communication and networking,Data Communication and Networking,117
management information systems,Management information systems,114
database system concepts,Database System Concepts,111
an integrated approach to software engineering,An Integrated Approach to Software Engineering,109
machine design: data book,Machine design: data book,107
"information technology e-1, m-1.1","Information Technology E-1, M-1.1",104
cryptography and network security,Cryptography and Network Security,103
basic mechanical engineering,Basic mechanical Engineering,102
group discussion for admission & jobs,Group discussion for admission & jobs,102
effective technical communication: a guide for scientist and  engineer,Effective Technical Communication: a guide for scientist and  engineer,101
refrigerant tables & charts including ..,refrigerant Tables & Charts Including ..,100
signals and systems,Signals and Systems,99
advanced engineering mathemaics9789812359711,Advanced Engineering Mathemaics9789812359711,99
steam table: with mollier diagram,Steam Table: with Mollier Diagram,99
technical communication: principles & practice,Technical Communication: principles & practice,96
design thinking,Design Thinking,96
engineering physics vol.2,Engineering Physics Vol.2,95
fundamentals of computers & programming with c,Fundamentals of Computers & Programming With C,94
engineering chemistry,Engineering Chemistry,93
heat and mass transfer,Heat and Mass Transfer,93
discrete mathematics,Discrete Mathematics,92
instrumentation measurement and analysis,Instrumentation Measurement and Analysis,92
multimedia systems,Multimedia Systems,91
a text book of engineering mathematics,A Text Book of Engineering Mathematics,91
operating systems,Operating Systems,88
thermal engineering,Thermal Engineering,88
automobile engineering,Automobile engineering,87
fundamentals of database systems,Fundamentals of Database Systems,85
electronic devices and circuits,Electronic Devices and Circuits,85
spoken english,Spoken English,85
computer networks,Computer Networks,85
introduction to automation theory,Introduction to Automation Theory,85
advanced economic theory,Advanced Economic Theory,83
common errors in english,Common Errors in English,83
programming and customizing the 8051 microcontroller,Programming and Customizing the 8051 Microcontroller,82
mechanics of structure: theory,Mechanics of Structure: theory,81
computer fundamentals,Computer Fundamentals,80
data structures using c and c++,Data Structures Using C and C++,80
fluid mechanics: fundamentals and applications,Fluid Mechanics: fundamentals and applications,79
essentials of physical chemistry,Essentials of Physical Chemistry,79
data structures using c,Data structures using C,79
software project management,Software Project Management,79
vishnu purana,Vishnu Purana,78
manufacturing process,Manufacturing Process,78
modern digital electronics,Modern digital electronics,77
"business systems,m-iii","Business Systems,M-III",77
a text book of engineering physics,A Text Book of Engineering Physics,77
operation research : an introduction,Operation Research : An Introduction,75
machine drawing,Machine Drawing,74
concise inorganic chemistry,Concise Inorganic Chemistry,73
design of machine elements,Design of Machine Elements,73
fluid mechanics,Fluid Mechanics,71
text book of quantitaive chemical analysis,Text Book of Quantitaive Chemical Analysis,71
electric machines,Electric Machines,71
object-oriented programming in turbo c++,Object-Oriented Programming in Turbo C++,70
multimedia on the pc,Multimedia on the PC,70
communication techniques and skills,Communication Techniques and Skills,70
principles of physical chemistry,Principles of physical chemistry,69
pass cambridge bec vantage: students books,Pass Cambridge BEC Vantage: Students Books,69
organic chemistry,Organic Chemistry,69
internal combustion engines,Internal Combustion Engines,69
a text book of electrical technology,A Text Book of Electrical Technology,69
engineering mechanics,Engineering Mechanics,66
communication skills,Communication skills,66
introduction to algorithms,Introduction to Algorithms,65
physics of semiconductor devices,Physics of Semiconductor Devices,65
power electronics,Power Electronics,63
communication skills for engineers and scientists,Communication skills for engineers and scientists,63
numerical methods,Numerical Methods,63
fundamental of engineering physics vol. 1,Fundamental of engineering physics Vol. 1,62
economics for engineerings,Economics for Engineerings,62
introductory methods of numerical analysis,Introductory Methods of Numerical Analysis,61
basic electrical engineering,Basic electrical engineering,60
steel tables,Steel tables,60
fluid mechanics and hydraulic machines,Fluid Mechanics and Hydraulic Machines,60
entrepreneurial development,Entrepreneurial Development,59
analog communication,Analog communication,59
engineering materials,Engineering Materials,59
fundamentls of software engineering,Fundamentls of Software Engineering,58
automobile engineering vol.1,Automobile Engineering Vol.1,58
multimedia making it work,Multimedia Making it Work,57
a textbook of production engineering,A Textbook of Production Engineering,57
electrical engineering materials,Electrical Engineering Materials,57
marketing management,Marketing Management,56
business analytics,Business Analytics,56
principles and practice of management,Principles and practice of management,56
data structures through c language,Data Structures Through C Language,55
digital electronics and microprocessors,Digital Electronics and Microprocessors,55
applied physics,Applied Physics,55
basics of mechanical engineering,Basics of Mechanical Engineering,54
materials science and engineering,Materials Science and Engineering,54
discrete mathematical structures,Discrete Mathematical Structures,54
an introduction to environmental science,An Introduction to Environmental Science,53
electronics devices and circuit theory,Electronics Devices and Circuit Theory,53
numerical methods for engineers,Numerical Methods for Engineers,53
environmental science,Environmental Science,53
principles of vlsi,Principles of VLSI,52
vlsi design,VLSI Design,52
basic vlsi design,Basic VLSI Design,52
building construction,Building Construction,52
java: the complete refrence,Java: the complete refrence,52
design with pic micro controllers,Design with PIC Micro controllers,52
biotechnology,Biotechnology,52
modern control engineering,Modern Control Engineering,52
mathematical elements for computer graphics,Mathematical Elements for Computer Graphics,51
engineering economics,Engineering Economics,51
vlsi technology,VLSI Technology,51
system analysis and design,System Analysis and Design,51
computer architecture & organisation,Computer Architecture & Organisation,51
electronic communication systems,Electronic Communication Systems,51
an introduction to database system,An Introduction to Database System,50
solid state physics,Solid state physics,50
data strucures through,Data Strucures Through,50
theory and applications of automatic controls,Theory and Applications of Automatic Controls,50
fundamentals of computer & programming with c,Fundamentals of Computer & Programming with C,50
computer organization & design,Computer Organization & Design,50
macroeconomics,Macroeconomics,50
personal computer software,Personal Computer Software,50
manufacturing processes: workshop practice,Manufacturing Processes: workshop practice,50
distributed operating system,Distributed Operating system,49
mechatronics,Mechatronics,49
probability and statistics for engineers: miller & freund's,Probability and Statistics for Engineers: Miller & Freund's,49
machine learning,Machine learning,49
introduce systems analysis,Introduce Systems Analysis,49
fundamentals of electric circuits,Fundamentals of Electric Circuits,49
environment and pollution,Environment and pollution,49
a textbook of plant ecology,A textbook of plant ecology,49
computer architecture: a quantative approach,Computer architecture: a quantative approach,49
principles of communication systems,Principles of Communication systems,49
manufacturing technology: foundry. forming and welding,Manufacturing technology: Foundry. forming and welding,49
practical low power digital vlsi,Practical Low Power Digital VLSI,48
engineering physics vol-1,Engineering Physics Vol-1,48
elements of information theory,Elements of Information Theory,48
optical fiber communication,Optical Fiber Communication,48
principles of cmos vlsi design,Principles of CMOS VLSI Design,47
electrical engineering fundamentals,Electrical Engineering Fundamentals,47
introduction to radar systems,Introduction to Radar Systems,46
automatic control systems,Automatic Control Systems,46
mechanical vibrations,Mechanical Vibrations,46
learning python,Learning python,46
"personal computer software (m-2,part-2)","Personal Computer Software (M-2,Part-2)",45
numerical methods: for scientific...,NumericaL Methods: for Scientific...,45
"personal computer software (m-2, part-1)","Personal Computer Software (M-2, Part-1)",45
programming in ansi c,Programming in ANSI C,45
visual c ++ 6,Visual C ++ 6,45
introduction to automata theory languages & computation,Introduction to Automata theory Languages & Computation,44
web technology and design,Web Technology and Design,44
security in computing,Security in Computing,44
machine design,Machine Design,44
concepts of physics vol. 1,Concepts of physics Vol. 1,44
programming with c,Programming With C,43
fundamental of computers,Fundamental of computers,43
concepts of physics vol. 2,Concepts of physics Vol. 2,43
programming with c++,Programming with C++,43
a vhdl primer,A VHDL Primer,43
programming languages : design and implementation,Programming Languages : Design and Implementation,42
management accounting,Management Accounting,42
numerical methods in engineering and science: with programming in c & c++,Numerical methods in engineering and science: with programming in C & C++,42
object-oriented analysis and design with applications,Object-Oriented Analysis and Design With Applications,42
industrial engineering & management,Industrial Engineering & Management,42
network analysis & synthesis,Network Analysis & Synthesis,42
electric circuits,Electric Circuits,41
reliability engineering,Reliability Engineering,41
microprocessors and interfacing,Microprocessors and Interfacing,41
concrete technology,Concrete Technology,41
essential of management,Essential of Management,41
data and computer communications,Data and Computer Communications,41
digital design,Digital Design,41
automotive mechanics,Automotive mechanics,41
plain & reinforced concrete: code of practice,Plain & Reinforced Concrete: Code of Practice,40
control systems,Control Systems,40
"digital signal processing: ppls,algs and appli.","Digital Signal Processing: Ppls,Algs and Appli.",40
mobile cellular telecommunications,Mobile Cellular Telecommunications,40
commentaries on living,Commentaries on living,40
a textbook of engineering mathematics,A textbook of engineering mathematics,40
environmental chemistry,Environmental Chemistry,40
an introduction to fuzzy control,An Introduction to Fuzzy Control,40
programming language,Programming Language,39
microwave engineering,Microwave Engineering,39
introduction to fiber optics,Introduction to fiber optics,39
contemporary logic design,Contemporary Logic Design,39
strength of materials: mechanics of solids,Strength of Materials: Mechanics of Solids,39
computer graphics8176569445,Computer Graphics8176569445,38
core java 2. vol 2.,Core Java 2. Vol 2.,38
electromagnetic fields and waves,Electromagnetic Fields and Waves,38
antennas,Antennas,38
object oriented programming in c++,Object Oriented Programming in C++,37
engineering thermodynamics,Engineering Thermodynamics,37
graph theory with applications to engg.and comp.sc,Graph Theory with Applications to Engg.and Comp.Sc,37
business correspondence & report writing9780070631989,Business Correspondence & Report Writing9780070631989,37
distributed operating systems concepts & design,Distributed Operating systems Concepts & Design,37
electromagnetic waves and radiating systems,Electromagnetic Waves and Radiating Systems,37
engineering mechanics: statics and dynamics,Engineering Mechanics: Statics and Dynamics,36
solid state electronic devices,Solid State Electronic Devices,36
manufacturing science,Manufacturing science,36
principles of electromagnetics,Principles of electromagnetics,36
business communication,Business Communication,36
a text book of machine design,A Text Book of Machine Design,36
head first android development: a brain friendly guide,Head first android development: a brain friendly guide,36
power plant engineering,Power Plant Engineering,35
neural networking for pattern recognition,Neural networking for pattern recognition,35
economics for engineers,Economics for Engineers,35
engineering mechanics: statics and dynamic,Engineering Mechanics: Statics and Dynamic,35
theory of mechanisms and machines,Theory of Mechanisms and Machines,35
communication techniques & skills,Communication techniques & skills,35
mechanical engineering design,Mechanical Engineering Design,35
physics of semi conductor devices,Physics of semi conductor devices,35
digital switching systems,Digital switching systems,35
textbook on engineering physics,Textbook on Engineering Physics,35
html dhtml java script perl cgi,HTML DHTML Java Script Perl CGI,34
automation production sys. and comp. inte. manu,Automation Production Sys. and Comp. Inte. Manu,34
object-oriented programming in c++,Object-Oriented Programming in C++,34
wireless communications principles & practice,Wireless Communications Principles & Practice,34
electronic devices and circuit theory,Electronic Devices and Circuit Theory,34
prolog : programming for artificial intelligence,PROLOG : Programming for Artificial Intelligence,34
vocabulary builders,Vocabulary builders,34
design of steel structures,Design of Steel Structures,34
biology : a textbook for class xii,Biology : A Textbook for Class XII,34
multimedia: an introduction,Multimedia: an introduction,34
microprocessor and interfacing,Microprocessor and Interfacing,34
computer based industrial control,Computer Based Industrial Control,34
principles of compiler design,Principles of Compiler Design,33
operating system concepts,Operating System Concepts,33
integrated circuits,Integrated Circuits,33
internet of things,Internet of things,33
probablity & statistics for engineering,Probablity & Statistics for Engineering,33
plain & reinforced concrete: code of practice: is.456:2000,Plain & Reinforced Concrete: Code of Practice: IS.456:2000,33
computer programming in pascal,Computer Programming in PASCAL,33
feedback control system,Feedback Control System,33
digital integrated electronics,Digital Integrated Electronics,33
vhdl ; digital system design using,VHDL ; Digital System Design Using,33
multimedia: making it work,Multimedia: Making it Work,32
internet of things: a hands on approach,Internet of things: a hands on approach,32
material science and engineering,Material Science and Engineering,32
cdma 2000 system for mobile communication,CDMA 2000 System for Mobile Communication,32
microcomputer systems : the 8086/8088 family,Microcomputer Systems : The 8086/8088 Family,32
disaster management: text and case studies,Disaster management: text and case studies,32
optical fiber communications,Optical Fiber Communications,32
fundamentals of digital circuits,Fundamentals of Digital Circuits,32
