_title_norm,title,num_editions,edition_list
2.5 g:mobile networks: gprs and edge,2.5 G:Mobile Networks: GPRS and EDGE,2,['1st ed.' '']
2008+ solved problems in electromagnetics,2008+ Solved Problems in Electromagnetics,2,['1st ed.' '']
8088 and 8086 microprocessers:---applications,8088 and 8086 microprocessers:---applications,2,['1st' '']
a course in electrical and ----- instrumentation,A Course in Electrical and ----- Instrumentation,3,['17th' '1st ed.' '17th.']
a course in electrical and instrumentation,A Course in Electrical and Instrumentation,2,['1st' '1st ed.']
a course in electrical machine design,A Course in Electrical Machine Design,2,['1st ed.' '5th']
a course in power plant engineering,A Course in Power Plant Engineering,2,['4th' '5th rev.']
a text book of electrical technology,A Text Book of Electrical Technology,2,['23rd rev' '1st']
a text book of engineering mathematics,A Text Book of Engineering Mathematics,2,['6th' '7th']
a text book of engineering physics,A Text Book of Engineering Physics,2,['5th rep' '6th rev.']
a text book of machine design,A Text Book of Machine Design,2,['1st rep.' '14th rev']
a text book of welding technology,A Text Book of Welding Technology,2,['1st ed.' 'rep.']
a text-book of organic chemistry,A Text-Book of Organic Chemistry,2,['1st ed.' '']
a textbook of engineering mathematics,A textbook of engineering mathematics,2,['7th ed.' '7th']
a textbook of plant ecology,A textbook of plant ecology,2,['4th' '4th ed']
a vhdl primer,A VHDL Primer,3,['3rd' '3rd. rep' '3rd ed.']
accounting :theory and practice,Accounting :Theory and Practice,2,['6th' '']
adptive filter theory,Adptive Filter Theory,2,['1st ed.' '']
advanced accountancy,Advanced Accountancy,3,['8ed.' '8th' '1st']
advanced computer architecture,Advanced Computer Architecture,4,['1st ed.' '' '1st' '10th']
advanced differential equations,Advanced differential equations,2,['1st ed.' '8th.rev.']
advanced digital systems,Advanced Digital Systems,2,['1st ed.' '']
advanced engineering mathematics,Advanced Engineering Mathematics,5,['2nd' '8th' '1st' '3rd' '3 ed.']
advanced microprocessors & peripherals,Advanced Microprocessors & Peripherals,2,['1st' '2nd']
advanced organic chemistry,Advanced Organic Chemistry,2,['1st rep' '']
advances in information optics & photonics,Advances in Information Optics & Photonics,2,['1st ed.' '']
advnaced electronic communication systems,Advnaced Electronic Communication Systems,2,['1st' '6th']
agni purana,Agni Purana,2,['3rd' '']
air pollution,Air Pollution,2,['1st ed.' '']
algebra,Algebra,2,['1st' '1st ed.']
an engineering approach to computer networking,An Engineering Approach to Computer Networking,3,['6th rep.' '1st' '1st ed.']
an engineering approach to digital design,An Engineering Approach to Digital Design,2,['12th pri.' '1st ed.']
an integrated approach to software engineering,An Integrated Approach to Software Engineering,4,['2nd' '1st' '3rd' '1st ed.']
an introduction to database system,An Introduction to Database System,2,['1st rep' '1st ed.']
an introduction to database systems,An Introduction to Database Systems,2,['7th' '8th']
an introduction to fiber optics,An Introduction to Fiber Optics,2,['3rd pri.' '1st']
an introduction to fuzzy control,An Introduction to Fuzzy Control,3,['1st' '1st ed.' '']
an introduction to genetic algorithms,An Introduction to Genetic Algorithms,2,['1st' '1st ed.']
an introduction to java programming,An Introduction to Java Programming,2,['4th. rep.' '1st']
an introduction to neural network,An Introduction to Neural Network,3,['1st' '1st ed.' '']
analog & digital communication,Analog & Digital Communication,3,['isr' '1st' '2nd']
analog & digital communication 3rd,Analog & Digital Communication 3rd,2,['3rd ed.' '3nd ed.']
analog and digital communication systems,Analog and Digital Communication Systems,2,['3rd' '5th']
analog and digital signal processing,Analog and Digital Signal Processing,2,['1st ed.' '']
analog integrated circuit design,Analog Integrated Circuit Design,3,['1st ed.' 'rep.' '']
antennas,Antennas,3,['7th' '2nd' '3rd']
antennas and wave propagation,Antennas and Wave Propagation,3,['4th ed.' '4' '1st ed.']
apllied numerical analysis,Apllied numerical analysis,2,['1st' '']
applied electromagnetic theory: analyses problems & application,Applied Electromagnetic Theory: Analyses problems & application,2,['1st ed.' '']
applied electromagnetic theory: analysis problems & application,Applied Electromagnetic Theory: Analysis problems & application,2,['1st ed.' '']
applied numerical analysis,Applied numerical analysis,4,['5th ed.' '6th' '1st' '7th']
applied physics,Applied Physics,2,['1st' '1st ed.']
artificial intelligence,Artificial Intelligence,5,['2nd' '3rd' '1st' '1st ed.' '2nd ed.']
artificial intelligence :a modern approach,Artificial Intelligence :A Modern Approach,2,['1st ed.' '']
artificial intelligence: a modern approach,Artificial Intelligence: A modern Approach,2,"['2nd' '2nd ,rev.']"
asp. net 2.0,ASP. Net 2.0,2,['1st ed.' '1st']
automatic control systems,Automatic Control Systems,2,['7th' '1st']
automation production sys. and comp. inte. manu,Automation Production Sys. and Comp. Inte. Manu,4,['1st ed.' '14th' '2nd' '7th']
automobile engineering,Automobile engineering,10,['1st' '' '8th' '2nd' '10th' '7th' '5th ed' '7 ed' '2nd ed.' '1st ed.']
automobile engineering vol.1,Automobile Engineering Vol.1,4,['1st ed.' '' '10th' '12th ed.']
automobile engineering vol.2,Automobile Engineering Vol.2,2,['10th' '10 ed']
automobile mechanics,Automobile Mechanics,3,['8th ed' '8th' '1st ed.']
automotive electrical equipment,Automotive Electrical Equipment,2,['1st ed.' '']
automotive handbook,Automotive Handbook,2,['7th' '8th']
automotive mechanics,Automotive mechanics,5,['1st' '9th' '10th' '2nd' '10th.']
automotive technology,Automotive technology,3,['1st' '1st ed.' '']
avhdl primer,AVHDL Primer,2,['2nd' '2nd ed.']
b.sc. practical physics,B.Sc. Practical Physics,2,['19th ed.' '']
basic automobile engineering,Basic Automobile Engineering,2,['7th ed' '7th']
basic business communication,Basic Business Communication,3,['9th' '1st' '3 rep.']
basic electric circuit  analysis,Basic Electric Circuit  Analysis,2,['1st ed.' '']
basic electrical and electronics engineering,Basic Electrical and Electronics Engineering,2,['vol. 2' '1st ed.']
basic electrical engineering,Basic electrical engineering,8,['1st ed.' '1st' '2nd' '' '3rd ed.' '7th rev.' '2nd ed.' '1st rev. ed.']
basic electronics,Basic Electronics,3,['10th ed.' '1st ed.' '2nd ed.']
