_title_norm,title,quantity
satellite communications,Satellite Communications,544
elements of mechanical engineering,Elements of Mechanical Engineering,330
pass combridge bec vantage: students books,Pass Combridge BEC Vantage: Students Books,327
design data,Design data,232
chemistry for engineers,Chemistry for Engineers,220
communication systems,Communication Systems,217
pass combridge bec preliminar ; student books,Pass Combridge BEC Preliminar ; Student Books,211
advanced engineering mathematics,Advanced Engineering Mathematics,209
let us c,Let Us C,203
essays and articles,Essays and articles,197
engineering physics,Engineering Physics,194
computer system architecture,Computer system architecture,190
engineering drawing,Engineering Drawing,174
"business systems, m-iii","Business Systems, M-III",169
artificial intelligence,Artificial Intelligence,167
modern physics for engineers,Modern Physics for Engineers,166
strength of materials,Strength of materials,165
bec pliminary test with cd,BEC Pliminary test with CD,164
refrigerant tables & charts including air conditioning data,Refrigerant Tables & Charts Including Air Conditioning Data,162
business correspondence & report writing,Business Correspondence & Report Writing,160
steam tables : with mollier diagram,Steam Tables : With Mollier Diagram,150
numerical methods for scientific & eng.computation,Numerical Methods for Scientific & Eng.Computation,149
pass cambridge bec preliminary: teachers books,Pass Cambridge BEC Preliminary: Teachers Books,144
fundamentals of computer and program,Fundamentals of Computer and Program,139
optics,Optics,134
theory of machines,Theory of machines,133
digital signal processing,Digital Signal Processing,131
workshop technology: manufacturing process,Workshop technology: manufacturing process,130
software engineering,Software Engineering,127
higher engineering mathematics,Higher engineering mathematics,122
